id,restaurant,tag,town,latitude,longitude,address,call,hour,menu,imageURL,thumURL,detail,recommend
11,곤국,#곰탕 #수육 #스지,남구,35.1477,129.06758,부산 남구 황령대로74번길 51-1,010-2608-6586,am 11:30 ~ pm 20:30,"한우 곰탕, 한우스지수육",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819150211450_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819150211450_thumbL,"곰탕전문식당인 이 곳은 오래 끓여 부드러운 고기와 맛이 진한 국물이 특징으로, 밥을 말아서 나오지 않고, 갓 지은 솥밥이 따로 제공된다.",0
12,공감식당,#숙성 #삼겹살 #껍데기,부산진구,35.16551,129.03838,부산진구 동평로 81,051-891-2041,am 11:30 ~ pm 24:00,"선별숙성삼겹살130g, 선별숙성목살130g, 구워먹는치즈",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110103549_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110103549_thumbL,"보리를 사료로 키운 돼지를 전문가가 직접 선별, 숙성하여 전문교육을 받은 직원들이 직접 구워주는 구이전문점으로, 삼겹살과 구워먹는 치즈가 이 곳의 인기메뉴이다. 다양한 사이드 메뉴도 준비되어 있다.",0
13,광명집,#아구찜 #아구탕 #뽈찜,남구,35.125664,129.10095,남구 신선로 458,051-621-4376,am 11:30 ~ pm 22:00,"아구찜, 대구찜, 아구탕",https://www.visitbusan.net/uploadImgs/files/cntnts/20210903144841845_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210903144841845_thumbL,"20년이 넘게 대를 이어 운영 중인 아구찜/대구뽈찜 전문점으로 신선하고 품질 좋은 재료들로  찜요리를 만들고 있다. 대구뽈찜은 양파가 가득 올려 진 독특한 조리법이 사용되며,  두 가지 찜 요리가 모두 인기 있다.",0
14,광안국밥,#돼지국밥 #국밥 #순대,중구,35.153072,129.11772,수영구 광안로62번길 39 대우아이빌 1층,051-757-0720,24시간 운영,"돼지국밥, 얼큰국밥, 수육, 순대전골",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913134121696_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913134121696_thumbL,광안리 해수욕장 앞에 위치하여 관광객들이 많이 찾는 돼지국밥전문점으로 특유의 진한 육수와 부드러운 고기가 특징이다. 당일 만든 신선한 음식을 제공하고 24시간 운영하고 있어 언제든 식사를 즐길 수 있다.,0
15,광안리 부산횟집,#회 #모듬회 #해산물,수영구,35.153217,129.12462,"수영구 민락수변로 29, 4층",051-753-8881,am 11:30 ~ pm 23:00,"불꽃모듬1인, 부산횟집스페셜1인, 바다모듬1인, 어방모듬1인",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913134517911_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913134517911_thumbL,APEC 지정 음식점으로 선정되었던 횟집으로 광안리 바다가 한눈에 들어오는 위치에 있다. 푸짐하고 다양한 회와 요리를 함께 먹을 수 있는 코스요리가 전문으로 특히 광안대교의 야경과 함께하는 식사는 무척 특별한 경험이 될 것이다.,0
16,국제밀면,#물밀면 #비빔밀면 #육수,연제구,35.19689,129.07785,부산 연제구 중앙대로 1235번길 23-6,051-501-5507,10:00a.m. ~ 20:00p.m.,"물밀면, 비빔밀면",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217202633906_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217202633906_thumbL,"부산의 수많은 밀면전문점 중에서도 가장 유명한 식당 중 한 곳으로, 소 사골만을 사용한 육수 등 독창적인 방식의 밀면을 만들고 있다. 보통 기계로 잘려진 편육이 고명으로 올려지 는데, 이 곳은 손으로 일일이 얇게 찢은 양지머리 고기가 올려지는 것이 특징이다.",0
17,금강만두,#만두 #육개장 #충무김밥,동래구,35.196102,129.06027,부산 동래구 사직북로5번길 11,051-502-8784,am 10:30 ~ pm 21:30,"충무세트(충무김밥+만두국), 육개장",https://www.visitbusan.net/uploadImgs/files/cntnts/20200818170548384_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818170548384_thumbL,"찾기 힘든 골목에 위치해 미식가들만 찾아가는 숨은 가게였던 이 가게는 현재 사람들의 왕래가 많은 자리의 큰 점포로 옮겨 운영하고 있다. 만두가 맛있기도 하지만, 사실 이 곳은 매우면서도 깔끔한 맛의 육개장이 더욱 유명한 특이한 식당이다.",0
18,금문,#우육탕 #짬뽕 #코스요리,동래구,35.221874,129.0818,부산 동래구 온천장로119번길 57,051-555-4987,am 11:30 ~ pm 21:30,"코스요리(1인), 금문자장",https://www.visitbusan.net/uploadImgs/files/cntnts/20191220100137362_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191220100137362_thumbL,"화교 2세인 오너쉐프가 운영하는 30년 전통의 중국식당으로, 고급스러운 실내와 넓은 규모의 연회석을 가지고 있어 모임장소로 인기 있는 곳이다. 이 곳은 특히 코스요리가 유명하며, 수준 높은 중국요리들을 비교적 저렴한 가격으로 제공하고 있다.",0
19,금수복국,#복국 #복 #지리,해운대구,35.16243,129.1645,해운대구 중동1로 43번길23,051-742-3600,24시간 운영,"은복지리탕, 활복지리탕",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172845727_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172845727_thumbL,"부산에서 가장 유명한 식당 중 한 곳인 46년 전통의 복어요리전문점으로, 우수한 식재를 현지에서 엄선하여 공수하고, 모든 찬류 및 장류와 김치, 양념 등을 직접 만들어 사용한다.특히 외국인 관광객들이 많이 찾는 곳으로도 유명하다.",0
20,김해식당,#아구수육 #아구찜 #아구탕,중구,35.09748,129.02994,중구 자갈치로 51-2(남포동5가),051-255-8242,09:30a.m. ~ 21:00p.m.,"생아구수육, 아구찜, 아구탕",https://www.visitbusan.net/uploadImgs/files/cntnts/20191218093724365_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191218093724365_thumbL,TV프로그램에도 자주 소개되는 유명한 아귀요리전문점으로 1980년부터 생 아귀를 이용한 음식들을 만들고 있다. 푸짐하고 신선한 아귀와 아귀 특수부위를 함께 먹을 수 있으며 외국인들도 즐겨 찾는 식당이다.,0
21,꽃물 한식당,#한식당 #꽃물정식 #닭찜,수영구,35.14823,129.1095,수영구 황령산로8번길 17,051-611-2249,am 11:00 ~ pm 21:00,"꽃물정식, 명태구이찜, 추어탕, 닭찜",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913134907589_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913134907589_thumbL,금련산 입구에 위치한 한식전문점으로 가게 이름인 꽃물은 물을 타지 않은 진한 국물이라고 한다. 주인이 정성을 들여 직접 만드는 음식은 집에서 먹는 음식처럼 자극적이지 않고 깔끔하다.,0
22,남촌,#덕천동 #돼지 #고기,북구,35.21074,129.00595,부산 북구 금곡대로 8번길 14,051-335-9294,am 11:00 ~ pm 22:00,"흑돼지 한마리(800g), 흑돼지 반마리(600g)",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154352300_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154352300_thumbL,"청정지역인 지리산 아래 산청의 흑돼지만 사용하고 있는 믿을 수 있는 돼지구이전문점이다. 사용되는 흑돼지 자체가 일반적인 돼지고기와 식감과 맛의 차이가 많이 나며, 껍데기가 붙어 있는 오겹살 흑돼지 고기를 쓰는 것이 특징이다.",0
23,내당,#호텔농심 #한정식 #불고기,동래구,35.219814,129.08208,동래구 금강공원로 20번길 23,051-550-2335,pm 12:00 ~ pm 21:30,"무궁화코스, 죽코스",https://www.visitbusan.net/uploadImgs/files/cntnts/20191220102628704_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191220102628704_thumbL,"온천장에 위치한 농심호텔 한정식전문점으로 정원과 연못이 있는 전통가옥의 형식으로 지어진 고급스러운 한식당이다. 음식 역시 무척이나 고급스러우며, 보증된 맛을 가지고 있는이 곳은 주로 격식 있는 연회나 모임 등의 장소로 많이 찾는다.",0
24,논두렁추어탕,#추어탕 #미꾸라지 #몸보신,동래구,35.206493,129.07968,부산 동래구 명륜로139번길 42-5,051-553-5769,am 8:00 ~ pm 20:30,"추어탕, 논고동무침",https://www.visitbusan.net/uploadImgs/files/cntnts/20191220103144792_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191220103144792_thumbL,"저렴한 가격으로 좋은 음식을 제공하기 위해 모든 음식을 주인이 직접 만들고 있는 추어탕 전문점으로, 손님이 미안할 정도의 가격으로 음식을 판매하고 있다. 이 곳의 대표메뉴 추어 탕은 다른 곳보다 조금 맑은 국물이 특징으로 담백한 맛을 낸다.",0
25,농가의하루,#파스타 #피자 #샐러드,금정구,35.253353,129.08449,금정구 금샘로 335,051-514-2088,am 11:00 ~ pm 21:00,"하와이안 치즈 듬뿍피자, 농가목살스테이크, 상하이해산물오일생면파스타",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913093836779_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913093836779_thumbL,"가정집을 개조한 따뜻한 분위기의 이탈리안 레스토랑으로 사계절 모든 메뉴를 신선한 산지 농가재료로 만드는 것이 특징이다. 다양한 세트 메뉴를 제공하고 있으며, 생면파스타와 자연 치즈로 만든 요리들이 대표메뉴이다.",0
26,다온,#우리농산물 #약선한정식 #코스요리,해운대구,35.158123,129.14853,부산 해운대구 해운대해변로 154,051-959-0119,11:30a.m. ~ 22:00p.m.,"다온상(1인), 송아리(1인)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219100305084_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219100305084_thumbL,"한옥의 전통적인 모티브를 활용한 인테리어가 인상적인 한정식전문점으로, 토속적인 소품 으로 장식된 별실이 마련되어 있어 격식 있는 모임의 장소로도 많이 찾는 곳. 한약재와 제철 음식 재료를 활용해서 만든 한식 요리를 곱게 담아 코스로 내는 한정식이 인기",0
27,다옴,#집밥 #차돌박이비빔국수 #칼국수,부산진구,35.152874,129.05957,"부산진구 중앙대로 672, 삼정타워 5층",051-520-3778,am 11:00 ~ pm 22:00,"차돌박이비빔국수, 칼국수, 비빔밥",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110833421_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110833421_thumbL,가볍게 즐길 수 있는 한식메뉴를 선보이는 식당으로 남해안멸치로 만드는 육수와 과일을 첨가하여 만든 숙성양념 등 음식준비에 많은 정성을 들인다. 차돌박이가 토핑 된 비빔국수와 비빔밥이 대표메뉴이다.,0
28,다이닝센,#파스타 #스테이크 #레스토랑,남구,35.124435,129.11235,부산 남구 용호로 88,051-621-8833,am 10:30 ~ pm 22:30,"쇠고기 찹스테이크 샐러드, 목살필라프",https://www.visitbusan.net/uploadImgs/files/cntnts/20200820090928003_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820090928003_thumbL,"패밀리레스토랑 다이닝센은 직접 만드는 소스들을 사용하고, 비교적 저렴한 가격에 비해 높은 수준의 음식들이 제공된다. 행사를 위한 시설과 공간도 잘 준비되어 있다.",0
29,당감밀면,#밀면 #만두 #칼국수,부산진구,35.162247,129.03975,부산진구 당감로 5 삼익아파트상가 18동 106호,051-896-0177,am 11:00 ~ pm 20:30,"밀면, 비빔밀면, 손만두4개/8개, 손칼국수",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913111405621_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913111405621_thumbL,지역민들이 추천하는 밀면전문점으로 육수와 면·양념에 이르기까지 모든 재료를 주방장의 독자적인 비법으로 만들어 특징적인 밀면의 맛을 자랑한다. 직접 만드는 손만두도 담백한 맛으로 인기 있다.,0
30,더브릭하우스,#화덕피자 #와인 #레스토랑,부산진구,35.15917,129.0585,"부산진구 부전로152번길 70, 1층",051-805-7749,pm 12:00 ~ pm 22:00,"마르게리타피자, 풍기피자, 포르마지파스타, 라구파스타",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913111907192_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913111907192_thumbL,"번잡한 번화가 사이에 예쁜 벽돌집이 보인다. 이곳은 화덕피자가 맛있기로 유명한 이탈리안 레스토랑으로, 클래식한 공간과 클래식한 음악 그리고 이탈리안 음식과 어울리는 다양한 와인이 준비되어 있다.",0
31,도날드 즉석 떡볶이,#분식 #떡볶이 #뻥크림,영도구,35.085815,129.04295,영도구 꿈나무길 267,051-413-9990,am 11:30 ~ pm 20:00,"뻥크림, 즉석떡볶이 2인분/3인분/4인분/5인분",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913142012236_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913142012236_thumbL,지역민들에게 추억의 장소인 이 곳은 35년간 운영해온 유명한 즉석떡볶이 전문점으로 해물육수와 고추장 소스를 사용하여 독특한 맛을 자랑한다. 후식으로 판매하는 뻥크림을 먹기 위해 찾아오는 사람들도 많다.,0
32,돌솟해물뼈찜,#돌솥 #해물뼈찜 #볶음밥,사상구,35.16146,128.98566,"사상구 사상로 180, 1층",051-583-1253,am 10:30 ~ pm 22:30,"해물뼈찜, 감자탕",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913113905013_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913113905013_thumbL,돌솥에 산처럼 쌓여있는 해물뼈찜의 독특한 모습이 인상적이다. 고기와 해물 야채가 함께 요리되어 풍부한 맛을 즐길 수 있는 찜 요리는 매운맛의 조절이 가능하며 남은 양념에 볶음밥을 먹을 수 있어 더욱 푸짐하다.,0
33,동래별장,#궁중요리 #신선로 #떡갈비,동래구,35.220375,129.0795,부산 동래구 금강로123번길 12,051-552-0157,12:00p.m. ~ 21:00p.m.,"점심정식, 저녁정식",https://www.visitbusan.net/uploadImgs/files/cntnts/20191220104322822_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191220104322822_thumbL,"3,000여 평의 넓은 정원으로 인해 공원 같은 느낌을 주는 이 곳은 부산에 남아 있는 대표적인 근대 일본식주택이기도 하며, 전통궁중요리를 만드는 식당이 다. 한국을 방문한 국빈급 인사가 찾기도 할 만큼 유명한 곳으로, 칠절판, 궁중 신선로, 궁중 떡갈비 등의 특별한 메뉴를 즐길 수 있는 곳이다.",0
34,동백섬횟집,#회 #활어회 #매운탕,해운대구,35.160427,129.15468,부산 해운대구 해운대해변로 209번나길 17,051-741-3888,12:00p.m. ~ 22:00p.m.,"점심한정메뉴, 회(1인)",https://www.visitbusan.net/uploadImgs/files/cntnts/20200818125906889_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818125906889_thumbL,"해운대 그랜드호텔 인근에 있는 자연산 활어회 전문 횟집으로, 생선회를 주문하면 문어숙 회, 멍게, 전복, 가자미구이, 새우튀김 등의 다양한 밑반찬과 식사 후 매운탕 등의 요리가 함께 제공된다. 대부분의 생선은 시가에 따라서 가격이 변동된다.",0
35,동원 숯불 갈비,#갈비 #숯불 #돼지갈비,연제구,35.188595,129.09715,연제구 과정로276번길 9,051-864-2379,am 12:00 ~ pm 22:00,돼지갈비230g,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913141552746_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913141552746_thumbL,한적한 골목길에 숨겨져 있는 이 돼지갈비전문점은 38년간 숯불돼지갈비 한 메뉴로 이 장소를 지켜온 식당이다. 쉽게 찾기 힘든 위치에 있지만 친근하고 꾸준한 맛으로 많은 단골고객들이 찾아오는 곳,0
36,동원장수촌,#보양식 #녹두오리 #백숙,사하구,35.10194,128.97113,부산 사하구 동매로 117,051-202-4100,am 11:30 ~ pm 21:30,"한방 녹두 백숙, 능이백숙",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172146946_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172146946_thumbL,"도자기 장인이 빚어낸 둥그런 뚝배기에 음식을 담아내는 보양음식전문점으로, 모임 등의 장소로도 인기 있는 곳이기도 하다. 한방녹두백숙이 특히 인기있는 메뉴로 황기 구기자 감초 등의 한약제와 녹두오리를 오래 삶아 보약 같은 국물과 부드러운고기가 특징이다.",0
37,드마히니,#레스토랑 #스테이크 #옵스,남구,35.13426,129.11124,남구 분포로 145 (W스퀘어 2동),051-621-8118,am 10:30 ~ pm 23:00,"한돈항정살스테이크, 수제리코타&모짜렐라 샐러드",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913095514659_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913095514659_thumbL,"부산의 유명 베이커리 옵스(OPS)에서 만든 두 번째 프렌치 레스토랑으로 파리 현지 카페의 자유로운 분위기를 살린 공간이 특징이며, 소박하고 정성 가득한 프랑스 요리들과  스페셜티 등급의 다섯 가지 브루잉 커피도 맛 볼 수 있는 곳이다.",0
38,디에이블,#파스타 #피자 #스테이크,서구,35.076706,129.01715,부산 서구 충무대로 47 3층,051-231-9177,am 11:00 ~ pm 22:00,"디에이블 파스타, 디에이블 피자",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132345743_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132345743_thumbL,"유명한 양식레스토랑인 디에이블의 분점으로, 가게 전체에서 보이는 멋진 바다풍경 속에서 특별한 식사를 할 수 있는 곳이다. 시그니처 메뉴인 피자는 페스츄리 도우를 사용해 촉촉한 것이 특징이며, 특제소스를 사용해 매콤하면서 고소한 파스타도 인기 있다.",0
39,르꽁비브,#레스토랑 #프렌치 #와인,해운대구,35.176777,129.12552,해운대구 센텀북대로 60 센텀아이에스타워 110호,051-783-3693,11:30a.m. ~ 22:00p.m.,"런치, 디너",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219101750249_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219101750249_thumbL,부산의 유명베이커리인 옵스에서 런칭한 전통 프렌치 레스토랑. 프랑스인들에게 프렌치 퀴진을 가르쳐온 셰프의 전통 현지 요리법으로 사계절 제철 식재료를 사용한 다양한 프렌치코스요리를 선보이고 있다.,0
40,만호갈미 샤브샤브,#샤브샤브 #갈미조개 #수육,강서구,35.101425,128.92914,강서구 르노삼성대로 602,051-271-4389,10:30p.m. ~ 21:30p.m.,"갈미샤브샤브, 갈미수육",https://www.visitbusan.net/uploadImgs/files/cntnts/20191216135832825_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191216135832825_thumbL,"샤브샤브, 수육, 구이 등 다양한 방식으로 갈미조개를 요리하는 갈미조개 전문 식당. 국물이 맛있기로 유명한 이 곳은 갈미샤브샤브와 갈미수육이 대표메뉴이다.",0
41,멤버스라운지,#호텔라운지 #와인 #바비큐,수영구,35.154335,129.11908,"수영구 광안해변로 229, 15층",051-758-5700,am 11:30 ~ pm 21:00,"와인파티(1인), TWG 애프터눈티세트(2인)",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913135237738_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913135237738_thumbL,"아름다운 광안리 일대가 한 눈에 내려다보이는 최고의 뷰 포인트인 15층에 위치한 호텔 라운지로, 무제한으로 제공되는 와인과 시즌마다 변경되는 매력적인 메인 플래터를 즐길 수 있는 '와인파티'가 유명하다.",0
42,명지첫집,#보쌈 #쭈꾸미 #족발,강서구,35.095818,128.92444,강서구 명지국제6로232번길 18,051-202-9599,11:30a.m. ~ 22:00p.m.,"쭈꾸미보쌈, 보쌈수육, 보쌈족발",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913092353076_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913092353076_thumbL,"샤브샤브, 수육, 구이 등 다양한 방식으로 갈미조개를 요리하는 갈미조개 전문. 국물이 맛있기로 유명한 이 곳은 갈미샤브샤브와 갈미수육이 대표메뉴이다.",0
43,몽실종가돼지국밥,#돼지국밥 #국밥 #수육백반,서구,35.10016,129.01721,부산 서구 까치고개로 197번길 3,051-256-0133,am 08:00 ~ pm 22:00,"돼지국밥, 수육백반",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132813484_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132813484_thumbL,"감천문화마을 근처에 있는 돼지국밥전문점으로, 청결한 실내와 친절한 점원들이 인상적이 다. 사골뼈를 24시간 이상 푹 고아 만든 국물이 유명하고, 국밥에 들어가는 고기양과 고기 종류를 선택할 수 있는 것이 특징이다.",0
44,무심정,#금정산성 #오리백숙 #사찰음식,금정구,35.251945,129.05591,금정구 북문로 23,051-517-3352,am 11:00 ~ pm 21:00,"한정식코스요리(1인), 산채비빔밥, 한방닭백숙",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913094521367_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913094521367_thumbL,"금정산성에 위치한 유명한 사찰음식전문 식당으로 매일 바뀌는 26가지 장아찌류와 함께 제철재료로 만든 재료본연의 풍부한 맛을 즐길 수 있다. 오너쉐프가 직접 만든 사찰음식코스, 한정식, 한방닭백숙, 오리백숙 등이 대표메뉴이다.",0
